,Unnamed: 0.1,Unnamed: 0,loan_id,user_id,loan_amount,loan_initiated_date,due_date,phone_number,is_default
0,0,0,332,19,15000.0,25/10/21 14:28,24/11/21 14:28,3306218698,0
1,1,1,528,161,378183.25,28/10/21 18:02,27/11/21 18:02,4612503964,0
2,2,2,579,187,390436.5,29/10/21 5:10,28/11/21 5:10,4578472737,0
3,3,3,584,107,434560.0,29/10/21 5:45,28/11/21 5:45,9473295696,0
4,4,4,633,174,192850.0,29/10/21 13:04,28/11/21 13:04,8242078567,0
5,5,5,634,212,287187.0,29/10/21 13:19,28/11/21 13:19,1053976262,1
6,6,6,715,131,325710.0,31/10/21 16:11,30/11/21 16:11,4108787934,0
7,7,7,826,320,220990.0,02/11/21 19:41,02/12/21 19:41,9898096244,0
8,8,8,873,352,58300.0,03/11/21 17:41,03/12/21 17:41,2931399138,0
9,9,9,937,420,192850.0,05/11/21 17:22,05/12/21 17:22,2199903841,0
10,10,10,948,432,192850.0,06/11/21 3:21,06/12/21 3:21,5227278484,0
11,11,11,992,439,339733.25,06/11/21 12:19,06/12/21 12:19,2705461984,1
12,12,12,1057,505,192850.0,07/11/21 7:53,07/12/21 7:53,9517669518,0
13,13,13,1205,604,189256.0083,09/11/21 11:23,09/12/21 11:23,7658830691,1
14,14,14,1224,581,279300.0,09/11/21 13:45,09/12/21 13:45,2388746139,0
15,15,15,1259,570,359193.004,09/11/21 18:04,09/12/21 18:04,5159784097,0
16,16,16,1315,668,34743.33333,10/11/21 7:53,10/12/21 7:53,4505780825,0
17,17,17,1326,600,49967.0,10/11/21 8:16,10/12/21 8:16,9548902089,1
18,18,18,1373,259,192850.0,10/11/21 11:35,10/12/21 11:35,5304723199,0
19,19,19,1403,419,46634.0,10/11/21 16:22,10/12/21 16:22,4553243315,1
20,20,20,1420,510,372593.1,11/11/21 1:04,11/12/21 1:04,9847639831,0
21,21,21,1522,419,1333.25,12/11/21 8:58,12/12/21 8:58,5095710122,0
22,22,22,1543,381,46410.0,12/11/21 11:40,12/12/21 11:40,1139771484,0
23,23,23,1633,796,426192.0,13/11/21 9:47,13/12/21 9:47,1781379375,1
24,24,24,1760,882,122666.0031,14/11/21 9:24,14/12/21 9:24,8774399877,0
25,25,25,1914,657,226893.0116,15/11/21 11:52,15/12/21 11:52,4965289494,0
26,26,26,1929,930,118300.0,15/11/21 13:03,15/12/21 13:03,7883430588,1
27,27,27,1934,679,429166.1333,15/11/21 13:30,15/12/21 13:30,2022418847,0
28,28,28,1953,833,454392.0,15/11/21 14:46,15/12/21 14:46,4140843071,0
29,29,29,2016,733,413928.0,15/11/21 23:05,15/12/21 23:05,9478901069,0
30,30,30,2032,1011,364324.6667,16/11/21 3:18,16/12/21 3:18,5685320864,0
31,31,31,2036,1025,431916.5,16/11/21 4:26,16/12/21 4:26,1224125204,0
32,32,32,2108,975,118300.0,16/11/21 11:31,16/12/21 11:31,9817953211,1
33,33,33,2116,1026,80076.66667,16/11/21 12:10,16/12/21 12:10,1259560106,0
34,34,34,2282,544,170053.0208,18/11/21 4:05,18/12/21 4:05,8789540037,0
35,35,35,2284,921,46633.0001,18/11/21 4:31,18/12/21 4:31,8708382078,1
36,36,36,2370,1193,49966.85714,18/11/21 12:29,18/12/21 12:29,4846481258,0
37,37,37,2643,1233,266053.0909,19/11/21 14:14,19/12/21 14:14,1919835528,0
38,38,38,2759,1391,33300.0,20/11/21 7:45,20/12/21 7:45,5459375691,0
39,39,39,2872,1456,49966.66667,21/11/21 2:27,21/12/21 2:27,1966417998,0
40,40,40,2927,1367,49966.06818,21/11/21 9:16,21/12/21 9:16,3647308220,0
41,41,41,2942,828,47736.0,21/11/21 10:32,21/12/21 10:32,9116270834,0
42,42,42,2975,1047,467600.0,21/11/21 12:41,21/12/21 12:41,7944486507,1
43,43,43,2991,755,443702.6667,21/11/21 15:23,21/12/21 15:23,5636522736,0
44,44,44,3377,1661,76633.00007,24/11/21 7:26,24/12/21 7:26,7573670000,1
45,45,45,3431,2,118300.0,24/11/21 11:14,24/12/21 11:14,5667841998,0
46,46,46,3446,1780,399386.2857,24/11/21 12:07,24/12/21 12:07,3110092621,0
47,47,47,3511,1554,340853.3333,24/11/21 17:06,24/12/21 17:06,7731303965,0
48,48,48,3665,1908,106470.0,25/11/21 11:03,25/12/21 11:03,8485818940,0
49,49,49,3728,906,460157.2677,25/11/21 15:12,25/12/21 15:12,8464193279,0
50,50,50,3793,1269,49967.0,26/11/21 2:07,26/12/21 2:07,3821341449,1
51,51,51,3869,2035,49966.66667,26/11/21 8:02,26/12/21 8:02,8412974080,0
52,52,52,4371,2325,455536.0,28/11/21 12:10,28/12/21 12:10,9830449096,0
53,53,53,4433,2366,354455.0012,28/11/21 16:40,28/12/21 16:40,3573957352,0
54,54,54,5073,2669,361011.25,01/12/21 8:29,31/12/21 8:29,6555906165,0
55,55,55,5266,2827,76633.11111,01/12/21 19:53,31/12/21 19:53,7002858073,0
56,56,56,5434,2727,49966.66667,02/12/21 12:41,01/01/22 12:41,6915226889,0
57,57,57,5448,2915,49966.46334,02/12/21 13:35,01/01/22 13:35,9304291523,0
58,58,58,5504,2944,33233.03571,02/12/21 18:37,01/01/22 18:37,1003998800,0
59,59,59,5507,2563,152538.75,02/12/21 18:56,01/01/22 18:56,7455253523,0
60,60,60,5509,2947,18283.49865,02/12/21 18:59,01/01/22 18:59,7683020041,0
61,61,61,5587,2952,106470.0,03/12/21 8:39,02/01/22 8:39,7959827391,0
62,62,62,5615,1651,49966.5,03/12/21 10:45,02/01/22 10:45,1607368887,0
63,63,63,5624,1644,49930.37576,03/12/21 11:14,02/01/22 11:14,9225970831,0
64,64,64,5809,2804,35933.16667,04/12/21 12:14,03/01/22 12:14,1310930687,0
65,65,65,6022,3281,10933.33333,05/12/21 19:14,04/01/22 19:14,6702554704,0
66,66,66,6154,3344,14133.00064,07/12/21 10:13,06/01/22 10:13,9087487539,0
67,67,67,6161,3345,371450.0,07/12/21 11:01,06/01/22 11:01,7322330147,0
68,68,68,6172,2195,46633.00053,07/12/21 12:15,06/01/22 12:15,5385992929,0
69,69,69,6176,3350,43286.42208,07/12/21 12:41,06/01/22 12:41,3223729749,0
70,70,70,6317,3400,173116.6667,08/12/21 10:51,07/01/22 10:51,6018004084,1
71,71,71,6370,3431,49966.66667,08/12/21 13:45,07/01/22 13:45,9334079037,0
72,72,72,6557,1765,46633.33333,09/12/21 14:59,08/01/22 14:59,7242404722,0
73,73,73,6590,3585,29706.66667,09/12/21 19:01,08/01/22 19:01,5904717495,0
74,74,74,6721,3668,66633.33333,10/12/21 18:41,09/01/22 18:41,4407688086,0
75,75,75,6732,3679,31633.1,10/12/21 19:37,09/01/22 19:37,6413650850,0
76,76,76,6737,2896,49966.66667,10/12/21 22:21,09/01/22 22:21,3284421591,0
77,77,77,6761,3682,49266.66667,11/12/21 2:11,10/01/22 2:11,5765749870,0
78,78,78,6779,3705,73300.0,11/12/21 3:09,10/01/22 3:09,2077459820,0
79,79,79,6883,3767,39706.66667,11/12/21 13:29,10/01/22 13:29,6499368752,0
80,80,80,6934,3803,33300.0,11/12/21 19:00,10/01/22 19:00,9764546632,0
81,81,81,6959,3674,49966.95238,12/12/21 2:44,11/01/22 2:44,7779899238,0
82,82,82,7088,3887,388266.75,12/12/21 12:53,11/01/22 12:53,8338740386,0
83,83,83,7426,3910,430000.0,14/12/21 10:15,13/01/22 10:15,3556653264,0
84,84,84,7574,3807,118300.0,15/12/21 5:02,14/01/22 5:02,3538410204,0
85,85,85,7638,19,56633.05882,15/12/21 9:10,14/01/22 9:10,2064140562,0
86,86,86,7672,4230,49266.66667,15/12/21 11:44,14/01/22 11:44,6110238053,0
87,87,87,7838,4353,414353.05,16/12/21 9:57,15/01/22 9:57,7249982559,0
88,88,88,7896,4384,39266.5,16/12/21 14:07,15/01/22 14:07,8775738604,0
89,89,89,7926,930,36633.25,16/12/21 17:23,15/01/22 17:23,9050191993,0
90,90,90,7964,4430,9962.066403,17/12/21 3:38,16/01/22 3:38,6146417699,0
91,91,91,7977,4442,118300.0,17/12/21 5:33,16/01/22 5:33,3252300333,0
92,92,92,8059,4491,49966.75,17/12/21 11:14,16/01/22 11:14,3471072266,0
93,93,93,8122,4499,245536.25,17/12/21 14:21,16/01/22 14:21,4984897284,0
94,94,94,8148,4524,49266.26616,17/12/21 16:30,16/01/22 16:30,4493285923,1
95,95,95,8216,4532,23076.66667,18/12/21 5:17,17/01/22 5:17,8348763445,0
96,96,96,8257,4603,425833.3333,18/12/21 9:41,17/01/22 9:41,2868398310,0
97,97,97,8281,4598,192850.0,18/12/21 11:33,17/01/22 11:33,2013230593,0
98,98,98,8326,4640,129933.0001,18/12/21 15:36,17/01/22 15:36,8635753704,1
99,99,99,8332,2969,396014.3333,18/12/21 16:17,17/01/22 16:17,2598164761,0
100,100,100,8431,4706,4965.210704,19/12/21 7:57,18/01/22 7:57,2590621773,0
101,101,101,8960,1327,49966.26351,21/12/21 13:47,20/01/22 13:47,2656579166,0
102,102,102,8998,5027,49966.99245,22/12/21 2:50,21/01/22 2:50,1055727044,0
103,103,103,9011,5056,359193.25,22/12/21 6:02,21/01/22 6:02,2078063683,0
104,104,104,9111,5001,49966.66667,22/12/21 12:00,21/01/22 12:00,6347806975,0
